DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances);classement prorogé
10/11/2021;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DES BORDS DE L'EURE;Avenue Thiers;28190;COURVILLE-SUR-EURE;https://camping-des-bords-de-leure.jimdosite.com/;-;216;-;54;-;-;non
20/11/2024;CAMPING;1 étoile;TOURISME;-;CAMPING MUNICIPAL DES GLIÈRES;les Glières, route départementale 925;73720;QUEIGE;https://queige.fr/loisirs-tourisme/camping-municipal.html;-;99;-;33;-;-;non
27/06/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DES TILLEULS;4 chemin des Tilleuls;57480;SIERCK-LES-BAINS;https://www.camping-siercklesbains.fr/le-camping.html;-;150;-;48;-;-;non
24/06/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DES ÉCLUZELLES;Rue Leclanché;86360;CHASSENEUIL-DU-POITOU;http://www.ville-chasseneuil-du-poitou.fr/index.php?id_article=110&id_rubrique=10;-;84;-;28;-;-;non
17/07/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU BAC DE PRUILLÉ;rue du Bac;49220;PRUILLÉ;https://www.longuenee-en-anjou.fr/camping-municipal-bac-de-pruille/;-;147;-;49;-;-;non
22/11/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU BOIS DES TOURS;312 rue des Bairiers;74130;BONNEVILLE;http://www.bonneville.fr/fr/tourisme/ou-se-restaurer-/170-hebergement;-;204;-;68;-;-;non
17/11/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU BORG NEHUÉ;1 impasse des charmes;56190;LE GUERNO;https://www.leguerno.fr/camping-municipal-le-guerno/;-;156;-;52;-;-;non
01/06/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU BOURG DE BANGOR;18 rue Pierre Cadre;56360;BANGOR;http://www.camping.bangor.fr/;-;222;-;74;-;-;non
19/10/2021;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU CHAMP PASSAIS;Rue du Champ Passais;61700;DOMFRONT;https://camping-municipal-domfront.jimdofree.com/;-;144;-;36;-;-;non
26/10/2022;CAMPING;1 étoile;TOURISME;-;CAMPING MUNICIPAL DU CHARDONNERET;rue du chardonneret;35370;LE PERTRE;-;-;90;-;30;-;-;non
22/10/2025;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DU CHÂTEAU;Rue du Val d'Ante;14700;FALAISE;http://www.camping-falaise.com/;-;195;-;65;-;-;non
21/04/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU COSSON;1 route de la codellerie;41220;CROUY-SUR-COSSON;https://www.crouysurcosson.fr/vivre-et-decouvrir/decouvrir/camping-municipal/;-;189;-;63;-;-;non
12/08/2025;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU COUCUT;2 Route de Bouau;32440;CASTELNAU D'AUZAN LABARRÈRE;http://www.camping-castelnau.com;-;57;-;19;-;-;non
11/01/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU FOND DE LA BAIE;Route de Plestin;29241;LOCQUIREC;https://campinglocquirec.com/;-;747;-;249;-;-;non
21/07/2022;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU GRAND PRESSIGNY;Rue Saint-Martin;37350;LE GRAND-PRESSIGNY;https://www.le-grand-pressigny.net/hebergements-municipaux-article-9-0-48.html;-;105;-;35;-;-;non
04/05/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU GUET;13 avenue Eugène Collin;58360;SAINT-HONORÉ-LES-BAINS;http://www.st-honore-les-bains.com/camping-municipal-du-guet/;-;198;-;66;-;-;non
23/09/2021;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU GURP;51 route de l'Océan;33590;GRAYAN-ET-L'HÔPITAL;https://www.campinglegurp.com/;-;6000;-;1000;-;-;non
17/05/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU KERVER;Chemin du kerver;56730;SAINT-GILDAS-DE-RHUYS;https://www.campingkerver.com/;-;381;-;127;-;-;non
22/11/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DU LAC;AVENUE MARX DOMOY;03310;NÉRIS-LES-BAINS;http://www.campingdulac-neris.com/;-;171;-;57;-;-;non
03/07/2023;CAMPING;2 étoiles;TOURISME;-;CAMPING MUNICIPAL DU LAC;chemin de la côte;22800;QUINTIN;https://www.quintin.fr/camping-municipal-du-lac/;-;75;-;25;-;-;non
05/08/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DU LAC;Route de la Plage;19160;NEUVIC;https://www.camping-neuvic.fr/;-;492;-;91;-;-;non
01/07/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING MUNICIPAL DU LAC DE PONTCHARAL;Pontcharal;19410;VIGEOIS;https://www.campingpontcharal.fr/;-;246;-;82;-;-;non
